region,City,County,Type
20588,Dhs,Howard,Unique
20601,Waldorf,Charles,Standard
20602,Waldorf,Charles,Standard
20603,Waldorf,Charles,Standard
20604,Waldorf,Charles,P.O. Box
20606,Abell,Saint Marys,Standard
20607,Accokeek,Prince Georges,Standard
20608,Aquasco,Prince Georges,Standard
20609,Avenue,Saint Marys,Standard
20610,Barstow,Calvert,P.O. Box
20611,Bel Alton,Charles,Standard
20612,Benedict,Charles,P.O. Box
20613,Brandywine,Prince Georges,Standard
20615,Broomes Island,Calvert,Standard
20616,Bryans Road,Charles,Standard
20617,Bryantown,Charles,Standard
20618,Bushwood,Saint Marys,Standard
20619,California,Saint Marys,Standard
20620,Callaway,Saint Marys,Standard
20621,Chaptico,Saint Marys,Standard
20622,Charlotte Hall,Charles,Standard
20623,Cheltenham,Prince Georges,Standard
20624,Clements,Saint Marys,Standard
20625,Cobb Island,Charles,P.O. Box
20626,Coltons Point,Saint Marys,Standard
20627,Compton,Saint Marys,P.O. Box
20628,Dameron,Saint Marys,Standard
20629,Dowell,Calvert,P.O. Box
20630,Drayden,Saint Marys,Standard
20632,Faulkner,Charles,Standard
20634,Great Mills,Saint Marys,Standard
20635,Helen,Saint Marys,P.O. Box
20636,Hollywood,Saint Marys,Standard
20637,Hughesville,Charles,Standard
20639,Huntingtown,Calvert,Standard
20640,Indian Head,Charles,Standard
20643,Ironsides,Charles,P.O. Box
20645,Issue,Charles,Standard
20646,La Plata,Charles,Standard
20650,Leonardtown,Saint Marys,Standard
20653,Lexington Park,Saint Marys,Standard
20656,Loveville,Saint Marys,Standard
20657,Lusby,Calvert,Standard
20658,Marbury,Charles,Standard
20659,Mechanicsville,Saint Marys,Standard
20660,Morganza,Saint Marys,P.O. Box
20661,Mount Victoria,Charles,P.O. Box
20662,Nanjemoy,Charles,Standard
20664,Newburg,Charles,Standard
20667,Park Hall,Saint Marys,Standard
20670,Patuxent River,Saint Marys,Standard
20674,Piney Point,Saint Marys,Standard
20675,Pomfret,Charles,Standard
20676,Port Republic,Calvert,Standard
20677,Port Tobacco,Charles,Standard
20678,Prince Frederick,Calvert,Standard
20680,Ridge,Saint Marys,Standard
20682,Rock Point,Charles,P.O. Box
20684,Saint Inigoes,Saint Marys,Standard
20685,Saint Leonard,Calvert,Standard
20686,Saint Marys City,Saint Marys,P.O. Box
20687,Scotland,Saint Marys,Standard
20688,Solomons,Calvert,Standard
20689,Sunderland,Calvert,Standard
20690,Tall Timbers,Saint Marys,Standard
20692,Valley Lee,Saint Marys,Standard
20693,Welcome,Charles,Standard
20695,White Plains,Charles,Standard
20697,Southern Md Facility,Prince Georges,Unique
20701,Annapolis Junction,Howard,Standard
20703,Lanham,Prince Georges,P.O. Box
20704,Beltsville,Prince Georges,P.O. Box
20705,Beltsville,Prince Georges,Standard
20706,Lanham,Prince Georges,Standard
20707,Laurel,Prince Georges,Standard
20708,Laurel,Prince Georges,Standard
20709,Laurel,Prince Georges,P.O. Box
20710,Bladensburg,Prince Georges,Standard
